Clave del Bien,Nombre del Bien,Grupo,Subgrupo,Clase,Marca,Modelo,Color,N. de Serie,No Factura,Proveedor,R. Social,Cod. Salud,F. Adquisicion,F. de Factura,F. de  Baja,Valor,F. Registro,Resguardo,ValorActual,ValorResidual,Cuenta Contable,Cuenta de Depreciacion,Cta de Activos,Ubicacion, D E P R E C I A C I O N E S,c1,c2,c3,c4,c5,c6,c7,c8,c9,Caracteristicas,Procedencia,Direccion,Division,Departamento,Responsable,Clave Emp.,Puesto,Clasificado,Nivel Dep.,Inventario Fisico,Ruta QR
53,MONITOR LCD,5,5,1,DELL,E157FP,,MX0YM223-46634-75G-1MK1,,0,,,,,24/02/2015,0,,181,0,0,12413,1.26E+13,1.24E+13,CENDIS CIRUGIAS,,36,0,36,0,0,0,0,0,0,,DONADO/MULTIFARMACOS,DIRECCION MEDICA,PARAMEDICA,FARMACIA CLINICA,Q.F.B. TANIA CORREA LOPEZ,,,,2,0,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000053.bmp
42,MESA PARA MAQUINA DE ESCRIBIR,5,1,1,POLOMATIC,SIN MODELO,,SIN SERIE,,0,,,COMPRA,31/12/2014,,450,31/12/2014,1217,0,4.5,12411,1.26E+13,1.24E+13,DIRECCION GENERAL,16/02/2023,120,98,22,445.5,3.71,7.42,363.58,81.92,0,13/03/2024  *  SECRETARIA,HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,DR. JAVIER ALFONSO PINEDO ONOFRE,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000042.bmp
