,,,,,,,,,,,,,,,,,,,,,,,,,,F. Cal Dep.,M. a Deprec.,M. Depreciados,M. x Dep.,M. a Dep.,Dep. Mens.,Acu. Ejer.,Tot. Acum.,Por Dep.,Demerito,,,,,,,,,,,,
1,ESCRITORIO,5,1,1,,,,,,0,,,COMPRA,31/12/2014,,"1,393.00",31/12/2014,0,0,13.93,3,12411,1.26E+13,1.24E+13,ALMACEN DE ACTIVO FIJO,30/06/2025,120,120,0,"1,379.07",11.49,139.32,"1,393.20",0,0,+++    *  CON 6 CAJONES-COLOR CAF,HC,DIRECCION ADMINISTRATIVA,DIVISION DE RECURSOS MATERIALES,ACTIVO FIJO,L.D. ANA ROSA JUAREZ CONTRERAS,,,,1,1,\\SERVERHCIMP\SISTEMAS\HOSP\patrimonial\qr\QR-000001.bmp
2,LIBRERO,5,1,1,,,,,,0,,,COMPRA,31/12/2014,21/08/2018,"2,345.15",31/12/2014,448,0,23.45,0,12411,1.26E+13,1.24E+13,DIRECCION GENERAL,16/02/2023,120,0,0,"2,321.70",0,0,0,0,0,*  CON 10 DIVISIONES-EN ESCUADRA,HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,AGUILAR GARC™A JORGE,,,,1,1,\\SERVERHCIMP\SISTEMAS\HOSP\patrimonial\qr\QR-000002.bmp
3,MICROSCOPIO DE ADORNO,5,9,1,CARL ZEISS,NSENA,,30577,,0,,,COMPRA,31/12/2014,,1,31/12/2014,0,0,0.01,0,12419,1.26E+13,1.24E+13,ENSE¾ANZA E INVESTIGACION/SALA DE JUNTAS,30/06/2025,120,1,119,0.99,0.01,0,0.01,0,0,04/01/2024   *  SALA DE JUNTAS RAMIREZ ASNAR ANTIGUO-DE ADORNO,HC,DIRECCION MEDICA,SUBDIRECCION DE ENSE¾ANZA,SUBDIRECCION DE ENSE¾ANZA,DR. JUAN MANUEL LOPEZ QUIJANO,,,,1,1,\\SERVERHCIMP\SISTEMAS\HOSP\patrimonial\qr\QR-000003.bmp
4,BALANZA,5,9,1,COBO,MG,,16,,0,,,COMPRA,31/12/2014,,1,31/12/2014,1217,0,0.01,0,12419,1.26E+13,1.24E+13,DIRECCION GENERAL,30/06/2025,120,1,119,0.99,0.01,0,0.01,0,0,13/03/2024   *  OFICINA    ANTIGUO-DE ADORNO,HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,DR. JAVIER ALFONSO PINEDO ONOFRE,,,,1,1,\\SERVERHCIMP\SISTEMAS\HOSP\patrimonial\qr\QR-000004.bmp
1,BALANZA,5,9,1,VOLAND & SONS,,,1.23E+19,,0,,,COMPRA,31/12/2014,,1,31/12/2014,0,0,0.01,0,12419,1.26E+13,1.24E+13,ENSE¾ANZA E INVESTIGACION/SALA DE JUNTAS,30/06/2025,120,1,119,0.99,0.01,0,0.01,0,0,04/01/2024   *  SALA DE JUNTAS RAMIREZ ASNAR ANTIGUO-DE ADORNO,HC,DIRECCION MEDICA,SUBDIRECCION DE CALIDAD,SUBDIRECCION DE CALIDAD,DR. JUAN MANUEL LOPEZ QUIJANO,,,,1,1,\\SERVERHCIMP\SISTEMAS\HOSP\patrimonial\qr\QR-000005.bmp
6,TERMOMETRO,5,9,1,,,,,,0,,,COMPRA,31/12/2014,,1,31/12/2014,0,0,0.01,0,12419,1.26E+13,1.24E+13,DIRECCION GENERAL,,120,0,120,0.99,0.01,0,0,0.99,0,-   *   PARA LIBROS-BASE NEGRA,HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,DR. JAVIER ALFONSO PINEDO ONOFRE,,,,1,2,\\SERVERHCIMP\SISTEMAS\HOSP\patrimonial\qr\QR-000006.bmp
